Title,Actor,Role,LoveInterest
Crash Landing on You (Korean: 사랑의 불시착),Bang Eun-jin,Han Jeong-yeon (Se-ri's step-mother),Yoon Jeung-pyeong (Se-ri's father)
Crash Landing on You (Korean: 사랑의 불시착),Cha Chung-hwa,Yang Ok Kum,
Crash Landing on You (Korean: 사랑의 불시착),Choi Dae-hoon,Yoon Se-joon (Se-ri's immature and hot-headed eldest half-brother),Do Hye-ji (Se-joon's materialistic but supportive wife)
Crash Landing on You (Korean: 사랑의 불시착),Choi Ji-woo,herself (Ep. 13),
Crash Landing on You (Korean: 사랑의 불시착),Go Kyu-pil,Hong Chang-sik (Se-ri's over-stressed team manager),
Crash Landing on You (Korean: 사랑의 불시착),Ha Seok-jin,army captain Ri Mu Hyeok (Jeong Hyeok's deceased older brother),
Crash Landing on You (Korean: 사랑의 불시착),Hong Woo-jin,Director Chon (a corrupt North Korean government official),
Crash Landing on You (Korean: 사랑의 불시착),Hwang Woo-seul-hye,Do Hye-ji (Se-joon's materialistic but supportive wife),Yoon Se-joon (Se-ri's immature and hot-headed eldest half-brother)
Crash Landing on You (Korean: 사랑의 불시착),Hyun Bin,Ri Jeong-hyeok,Yoon Se-ri
Crash Landing on You (Korean: 사랑의 불시착),Jang Hye-jin,Ko Myong Un (Dan's wealthy mother),
Crash Landing on You (Korean: 사랑의 불시착),Jang So-yeon,Hyon Myong Sun (Jong Man Bok's wife),Jong Man Bok (a North Korean wiretapper coerced by Cheol Gang)
Crash Landing on You (Korean: 사랑의 불시착),Jun Gook-hwan,Ri Chung Ryol (Jeong Hyeok's father),Kim Yun Hui (Jeong Hyeok's mother)
Crash Landing on You (Korean: 사랑의 불시착),Jung Ae-ri,Kim Yun Hui (Jeong Hyeok's mother),Ri Chung Ryol (Jeong Hyeok's father)
Crash Landing on You (Korean: 사랑의 불시착),Jung Kyung-ho,"Cha Sang-woo (Se-ri's South Korean ex-boyfriend (Ep. 1, 5 & 7))",Yoon Se-ri
Crash Landing on You (Korean: 사랑의 불시착),Kim Jung-hyun,Gu Seung-joon / Alberto Gu,Seo Dan / Yoon Se-ri
Crash Landing on You (Korean: 사랑의 불시착),Kim Jung-nan,Ma Yong Ae,
Crash Landing on You (Korean: 사랑의 불시착),Kim Soo-hyun,Bang Dong-gu (a North Korean Spy from Division 11),
Crash Landing on You (Korean: 사랑의 불시착),Kim Sook,a North Korean fortune teller (Ep. 11 & 16),
Crash Landing on You (Korean: 사랑의 불시착),Kim Sun-young,Ra Wol Suk,
Crash Landing on You (Korean: 사랑의 불시착),Kim Young-min,Jong Man Bok (a North Korean wiretapper coerced by Cheol Gang),Hyon Myong Sun (Jong Man Bok's wife)
Crash Landing on You (Korean: 사랑의 불시착),Lee Shin-young,Park Kwang Beom (a first lieutenant in Jeong Hyeok's unit),
Crash Landing on You (Korean: 사랑의 불시착),Lim Chul-soo,Park Soo-chan (Se-ri's insurance agent),
Crash Landing on You (Korean: 사랑의 불시착),Na Young-hee,a North Korean wedding dress boutique owner (Ep. 7),
Crash Landing on You (Korean: 사랑의 불시착),Nam Kyung-eup,Yoon Jeung-pyeong (Se-ri's father),Han Jeong-yeon (Se-ri's step-mother)
Crash Landing on You (Korean: 사랑의 불시착),Oh Man-seok,Jo Cheol Gang (a Lt. Commander in the North Korean Armed Forces' Security Bureau),
Crash Landing on You (Korean: 사랑의 불시착),Park Hyung-soo,Yoon Se-hyung (Se-ri's unflappable elder half-brother),Go Sang-ah (Se-hyung's wife who covets Se-ri's company)
Crash Landing on You (Korean: 사랑의 불시착),Park Myung-hoon,Ko Myong Sok (Dan's maternal uncle),
