Name,Gender,Rating,Seen in,Titles,Preference,Frequency,Rank,AvgRating,Score
Kim Soo-hyun,M,100,4,10,1.00,1.00,1.000,0.51,0.956
Jun Ji-hyun,F,95,2,4,1.00,0.96,0.978,0.77,0.937
Park Hyung-sik,M,92,2,7,0.99,1.00,0.995,0.71,0.960
Seo Ye-ji,F,90,2,3,0.99,0.89,0.940,0.61,0.863
Gong Hyo-jin,F,85,2,3,0.98,0.89,0.936,0.81,0.908
Jo In-sung,M,85,1,2,0.98,0.77,0.877,0.78,0.850
Hyun Bin,M,80,2,4,0.98,0.96,0.969,0.52,0.881
Park Seo-joon,M,75,2,6,0.97,0.99,0.984,0.47,0.911
Oh Jung-se,M,70,1,2,0.97,0.77,0.871,0.83,0.861
Yoon Doo-joon,M,65,3,3,0.97,0.89,0.929,0.54,0.840
Son Ye-jin,F,60,1,3,0.96,0.89,0.927,0.47,0.822
Go Ara,F,55,1,1,0.96,0.00,0.480,0.76,0.480
IU,F,50,2,3,0.94,0.89,0.918,0.71,0.869
Koo Ja-sung,M,50,1,2,0.94,0.77,0.858,0.36,0.719
Kim Jae-kyung,F,50,1,1,0.94,0.00,0.472,0.65,0.472
Sung Hoon,M,50,1,1,0.94,0.00,0.472,0.50,0.472
Choi Won-young,M,2,2,4,0.87,0.96,0.914,0.79,0.891
Kim Mi-kyung,F,2,2,5,0.87,0.99,0.927,0.70,0.889
Lee Kwang-soo,M,2,2,3,0.87,0.89,0.880,0.85,0.873
Kim Chang-wan,M,2,3,3,0.87,0.89,0.880,0.85,0.873
Cha Tae-hyun,M,2,2,2,0.87,0.77,0.821,0.91,0.846
Sung Dong-il,M,2,2,4,0.87,0.96,0.914,0.40,0.814
Hwang Jung-eum,F,2,1,2,0.87,0.77,0.821,0.72,0.793
Kim So-hyun,F,2,1,2,0.87,0.77,0.821,0.71,0.791
Jung Soo-young,F,2,2,3,0.87,0.89,0.880,0.43,0.776
Park Hae-jin,M,2,1,2,0.87,0.77,0.821,0.59,0.757
Yoon Park,M,2,1,2,0.87,0.77,0.821,0.52,0.737
Ok Taec-yeon,M,2,1,2,0.87,0.77,0.821,0.44,0.715
Ahn Jae-hyun,M,2,1,1,0.87,0.00,0.435,0.86,0.435
Do Ji-han,M,2,1,1,0.87,0.00,0.435,0.76,0.435
Do Kyung-soo,M,2,1,1,0.87,0.00,0.435,0.82,0.435
Kang So-ra,F,2,1,1,0.87,0.00,0.435,0.62,0.435
Park Bo-young,F,2,1,1,0.87,0.00,0.435,0.85,0.435
Seo Ji-hye,F,2,1,1,0.87,0.00,0.435,0.78,0.435
Song Ji-eun,F,2,1,1,0.87,0.00,0.435,0.50,0.435
Yook Sung-jae,M,2,1,1,0.87,0.00,0.435,0.74,0.435
Jeon Jin-seo,M,1,1,4,0.00,0.96,0.480,0.86,0.553
Kim Ji-won,F,1,1,4,0.00,0.96,0.480,0.84,0.550
Lee Sang-woo,M,1,2,5,0.00,0.99,0.493,0.68,0.523
Park Shin-hye,F,1,1,3,0.00,0.89,0.446,0.78,0.523
Lee Yi-kyung,M,1,1,3,0.00,0.89,0.446,0.77,0.520
Yoo Jae-myung,M,1,2,3,0.00,0.89,0.446,0.74,0.513
Ra Mi-ran,F,1,1,3,0.00,0.89,0.446,0.74,0.513
Kang Ki-doong,,1,2,2,0.00,0.77,0.386,0.83,0.510
Kwak Dong-yeon,M,1,2,2,0.00,0.77,0.386,0.83,0.510
Park Kyu-young,F,1,2,2,0.00,0.77,0.386,0.83,0.510
Lee Il-hwa,F,1,2,3,0.00,0.89,0.446,0.70,0.505
Kim Soo-yeon,,1,2,2,0.00,0.77,0.386,0.81,0.503
Kim Won-hae,M,1,2,2,0.00,0.77,0.386,0.81,0.503
Kim Sung-oh,M,1,2,3,0.00,0.89,0.446,0.69,0.501
Choi Hyo-eun,,1,2,2,0.00,0.77,0.386,0.80,0.500
Kim Bo-mi,,1,1,2,0.00,0.77,0.386,0.78,0.497
Jung Da-bin,,1,1,2,0.00,0.77,0.386,0.78,0.496
Lee Chae-eun,,1,2,2,0.00,0.77,0.386,0.78,0.495
Lee El,,1,2,2,0.00,0.77,0.386,0.78,0.495
Lee Jung-eun,,1,1,2,0.00,0.77,0.386,0.74,0.484
Lee Byung-joon,M,1,1,2,0.00,0.77,0.386,0.74,0.483
Kim Dong-hee,,1,1,2,0.00,0.77,0.386,0.73,0.483
Kim Yeo-jin,,1,1,2,0.00,0.77,0.386,0.73,0.483
Kim Hyun-soo,,1,2,2,0.00,0.77,0.386,0.70,0.474
Im Ho,M,1,2,4,0.00,0.96,0.480,0.45,0.474
Yoon Jin-yi,,1,2,2,0.00,0.77,0.386,0.68,0.468
Bae Suzy,F,1,2,3,0.00,0.89,0.446,0.54,0.467
Kim Jong-goo,M,1,2,3,0.00,0.89,0.446,0.53,0.465
Ji Soo,,1,2,2,0.00,0.77,0.386,0.64,0.456
